TYPE,DATE,START TIME,END TIME,USAGE,UNITS,NOTES
Electric usage,3/10/2018,16:30,16:44,0.1,kWh,
Electric usage,3/10/2018,16:45,16:59,0.08,kWh,
Electric usage,3/10/2018,17:00,17:14,0.17,kWh,
Electric usage,3/10/2018,17:15,17:29,0.13,kWh,
Electric usage,3/10/2018,17:30,17:44,0.11,kWh,
Electric usage,3/10/2018,17:45,17:59,0.13,kWh,
Electric usage,3/10/2018,18:00,18:14,0.12,kWh,
Electric usage,3/10/2018,18:15,18:29,0.1,kWh,
Electric usage,3/10/2018,18:30,18:44,0.09,kWh,
Electric usage,3/10/2018,18:45,18:59,0.1,kWh,
Electric usage,3/10/2018,19:00,19:14,0.08,kWh,
Electric usage,3/10/2018,19:15,19:29,0.1,kWh,
Electric usage,3/10/2018,19:30,19:44,0.09,kWh,
Electric usage,3/10/2018,19:45,19:59,0.1,kWh,
Electric usage,3/10/2018,20:00,20:14,0.2,kWh,
Electric usage,3/10/2018,20:15,20:29,0.17,kWh,
Electric usage,3/10/2018,20:30,20:44,0.2,kWh,
Electric usage,3/10/2018,20:45,20:59,0.13,kWh,
Electric usage,3/10/2018,21:00,21:14,0.13,kWh,
Electric usage,3/10/2018,21:15,21:29,0.1,kWh,
Electric usage,3/10/2018,21:30,21:44,0.14,kWh,
Electric usage,3/10/2018,21:45,21:59,0.1,kWh,
Electric usage,3/10/2018,22:00,22:14,0.12,kWh,
Electric usage,3/10/2018,22:15,22:29,0.07,kWh,
Electric usage,3/10/2018,22:30,22:44,0.16,kWh,
Electric usage,3/10/2018,22:45,22:59,0.1,kWh,
Electric usage,3/10/2018,23:00,23:14,0.21,kWh,
Electric usage,3/10/2018,23:15,23:29,0.18,kWh,
Electric usage,3/10/2018,23:30,23:44,0.24,kWh,
Electric usage,3/10/2018,23:45,23:59,0.16,kWh,
Electric usage,3/11/2018,0:00,0:14,0.15,kWh,
Electric usage,3/11/2018,0:15,0:29,0.14,kWh,
Electric usage,3/11/2018,0:30,0:44,0.13,kWh,
Electric usage,3/11/2018,0:45,0:59,0.11,kWh,
